Rank,Reg_rank,University,Score,Alumni 
708,701-800,babeș-bolyai university,1,0.0
709,701-800,beijing university of posts and telecommunications,91-106,0.0
710,701-800,bilkent university,2-7,0.0
711,701-800,carleton university,22-25,0.0
712,701-800,catholic university of korea,22-26,0.0
713,701-800,china medical university (shenyang),91-106,0.0
714,701-800,china university of petroleum - beijing,91-106,0.0
715,701-800,chongqing medical university,91-106,0.0
716,701-800,copenhagen business school,6,0.0
717,701-800,czech technical university in prague,4-5,5.6
718,701-800,dokuz eylul university,2-7,0.0
719,701-800,east carolina university,172-181,0.0
720,701-800,edith cowan university,28-30,0.0
721,701-800,erciyes university,2-7,0.0
722,701-800,federal university of sao carlos,12-14,0.0
723,701-800,federal university of viçosa,12-14,0.0
724,701-800,free university of bozen-bolzano,32-36,0.0
725,701-800,fujian agriculture forestry university,91-106,0.0
726,701-800,hacettepe university,2-7,0.0
727,701-800,hangzhou dianzi university,91-106,0.0
728,701-800,harbin medical university,91-106,0.0
729,701-800,hong kong baptist university,6-7,0.0
730,701-800,huaqiao university,91-106,0.0
731,701-800,indian institute of technology bombay,5-8,0.0
732,701-800,indian institute of technology delhi,5-8,0.0
733,701-800,indian institute of technology kharagpur,5-8,0.0
734,701-800,juntendo university,23-29,0.0
735,701-800,kanazawa university,23-29,0.0
736,701-800,kangwon national university,22-26,0.0
737,701-800,kaohsiung medical university,9-10,0.0
738,701-800,khalifa university,1,0.0
739,701-800,king juan carlos university,22-27,0.0
740,701-800,konkuk university,22-26,0.0
741,701-800,liverpool john moores university,47-50,0.0
742,701-800,loughborough university,47-50,0.0
743,701-800,medical university warsaw,4-5,0.0
744,701-800,michigan technological university,172-181,7.9
745,701-800,middle east technical university,2-7,0.0
746,701-800,military medical university of the air force,91-106,0.0
747,701-800,murdoch university,28-30,0.0
748,701-800,nagasaki university,23-29,11.2
749,701-800,national university of la plata,2,0.0
750,701-800,ningbo university,91-106,0.0
751,701-800,north china electric power university,91-106,0.0
752,701-800,ohio university,172-181,13.7
753,701-800,renmin university of china,91-106,0.0
754,701-800,second university of naples,32-36,0.0
755,701-800,sejong university,22-26,0.0
756,701-800,shaanxi normal university,91-106,0.0
757,701-800,shahid beheshti university of medical sciences,7,0.0
758,701-800,south china agricultural university,91-106,0.0
759,701-800,south china normal university,91-106,0.0
760,701-800,stevens institute of technology,172-181,9.7
761,701-800,suny upstate medical university,172-181,0.0
762,701-800,swarthmore college,172-181,25.1
763,701-800,taipei medical university,9-10,0.0
764,701-800,taiyuan university of technology,91-106,0.0
765,701-800,the education university of hong kong,6-7,0.0
766,701-800,the graduate university for advanced studies,23-29,0.0
767,701-800,the open university,47-50,0.0
768,701-800,the royal veterinary college,47-50,0.0
769,701-800,the university of waikato,6-7,0.0
770,701-800,tokyo university of agriculture and technology,23-29,0.0
771,701-800,tuscia university,32-36,0.0
772,701-800,university of arkansas for medical sciences,172-181,0.0
773,701-800,university of brasília,12-14,0.0
774,701-800,university of castilla–la mancha,22-27,0.0
775,701-800,university of chemistry and technology prague,4-5,0.0
776,701-800,university of crete,4,0.0
777,701-800,university of delhi,5-8,0.0
778,701-800,university of hohenheim,47,0.0
779,701-800,university of la laguna,22-27,0.0
780,701-800,university of lleida,22-27,0.0
781,701-800,university of luxembourg,1,0.0
782,701-800,university of maribor,2,0.0
783,701-800,university of modena and reggio emilia,32-36,0.0
784,701-800,university of murcia,22-27,0.0
785,701-800,university of navarra,22-27,0.0
786,701-800,university of nevada-las vegas,172-181,0.0
787,701-800,university of ontario institute of technology,22-25,0.0
788,701-800,university of poitiers,28-29,11.2
789,701-800,university of regina,22-25,0.0
790,701-800,university of salerno,32-36,0.0
791,701-800,university of sherbrooke,22-25,0.0
792,701-800,university of southern queensland,28-30,0.0
793,701-800,university of split,2,0.0
794,701-800,university of texas at el paso,172-181,0.0
795,701-800,university of veterinary medicine vienna,10,0.0
796,701-800,university putra malaysia,5,0.0
797,701-800,ural federal university,6,0.0
798,701-800,yamagata university,23-29,0.0
799,701-800,yokohama city university,23-29,0.0
800,801-900,aberystwyth university,51-55,0.0
801,801-900,anhui medical university,107-120,0.0
802,801-900,ankara university,8-10,0.0
803,801-900,babol noshirvani university of technology,8-10,0.0
804,801-900,bohai university,107-120,0.0
805,801-900,budapest university of technology and economics,3,9.7
806,801-900,chemnitz university of technology,48-51,0.0
807,801-900,chiang mai university,3-4,0.0
808,801-900,china pharmaceutical university,107-120,0.0
809,801-900,college of william and mary,182-192,0.0
810,801-900,comenius university in bratislava,1,0.0
811,801-900,concordia university,26,0.0
812,801-900,cuny hunter college,182-192,12.5
813,801-900,dongguk university,27-29,0.0
814,801-900,ehime university,30-33,0.0
815,801-900,federal university of ceara,15-18,0.0
816,801-900,federal university of pernambuco,15-18,0.0
817,801-900,federal university of rio grande do norte,15-18,0.0
818,801-900,federal university of santa maria,15-18,0.0
819,801-900,gachon university,27-29,0.0
820,801-900,gazi university,8-10,0.0
821,801-900,guangdong university of technology,107-120,0.0
822,801-900,guizhou university,107-120,0.0
823,801-900,hallym university,27-29,0.0
824,801-900,hangzhou normal university,107-120,0.0
825,801-900,haverford college,182-192,17.7
826,801-900,indian institutes of science education and research (iisers),9-10,0.0
827,801-900,iran university of science & technology,8-10,0.0
828,801-900,isfahan university of technology,8-10,0.0
829,801-900,istanbul technical university,8-10,0.0
830,801-900,itmo university,7-10,0.0
831,801-900,jawaharlal nehru university,9-10,0.0
832,801-900,kazan (volga region) federal university,7-10,0.0
833,801-900,keele university,51-55,0.0
834,801-900,kumamoto university,30-33,0.0
835,801-900,lincoln university,8,0.0
836,801-900,liverpool school of tropical medicine,51-55,0.0
837,801-900,london business school,51-55,0.0
838,801-900,manchester metropolitan university,51-55,0.0
839,801-900,mansoura university,4,0.0
840,801-900,marche polytechnic university,37-42,0.0
841,801-900,miguel hernandez university of elche,28-36,0.0
842,801-900,nanjing forestry university,107-120,0.0
843,801-900,nara institute of science and technology,30-33,0.0
844,801-900,national sun yat-sen university,11,0.0
845,801-900,national university of colombia,1,0.0
846,801-900,national university of cordoba,3,0.0
847,801-900,niigata university,30-33,0.0
848,801-900,northeast normal university,107-120,0.0
849,801-900,orebro university,12,0.0
850,801-900,pablo de olavide university,28-36,0.0
851,801-900,portland state university,182-192,0.0
852,801-900,prince of songkla university,3-4,0.0
853,801-900,quaid-i-azam university,2-4,0.0
854,801-900,rutgers university-newark,182-192,0.0
855,801-900,shandong university of science technology,107-120,0.0
856,801-900,sichuan agricultural university,107-120,0.0
857,801-900,singapore university of technology & design,3,0.0
858,801-900,sultan qaboos university,1,0.0
859,801-900,the national university of science and technology misis,7-10,0.0
860,801-900,the university of akron,182-192,0.0
861,801-900,tomsk state university,7-10,0.0
862,801-900,uniformed services university of the health sciences - usa,182-192,0.0
863,801-900,universidad andrés bello,3-4,0.0
864,801-900,universite de tunis el manar,1,0.0
865,801-900,university of agriculture faisalabad,2-4,0.0
866,801-900,university of alicante,28-36,0.0
867,801-900,university of arkansas at little rock,182-192,0.0
868,801-900,university of augsburg,48-51,0.0
869,801-900,university of cagliari,37-42,0.0
870,801-900,university of calabria,37-42,0.0
871,801-900,university of cantabria,28-36,0.0
872,801-900,university of concepcion,3-4,0.0
873,801-900,university of extremadura,28-36,0.0
874,801-900,university of girona,28-36,0.0
875,801-900,university of ioannina,5,0.0
876,801-900,university of jaen,28-36,0.0
877,801-900,university of jinan,107-120,0.0
878,801-900,university of kassel,48-51,0.0
879,801-900,university of klagenfurt,11,0.0
880,801-900,university of malaga,28-36,0.0
881,801-900,university of messina,37-42,0.0
882,801-900,university of mississippi,182-192,0.0
883,801-900,university of nice sophia antipolis,30-32,0.0
884,801-900,university of orleans,30-32,0.0
885,801-900,university of paderborn,48-51,0.0
886,801-900,university of savoy,30-32,0.0
887,801-900,university of south africa,8,14.8
888,801-900,university of tennessee health science center,182-192,0.0
889,801-900,university of the punjab,2-4,13.7
890,801-900,university of the republic - uruguay,1,0.0
891,801-900,university of the sunshine coast,31,0.0
892,801-900,university of toledo,182-192,0.0
893,801-900,university of udine,37-42,0.0
894,801-900,university of urbino,37-42,0.0
895,801-900,university of valladolid,28-36,0.0
896,801-900,warsaw university of technology,6,0.0
897,801-900,yanshan university,107-120,0.0
898,801-900,yunnan university,107-120,0.0
899,801-900,zhejiang normal university,107-120,0.0
900,901-1000,all india institute of medical sciences,11-16,0.0
901,901-1000,anhui agricultural university,121-132,0.0
902,901-1000,anhui university,121-132,0.0
903,901-1000,anna university,11-16,0.0
904,901-1000,augusta university,193-206,0.0
905,901-1000,banaras hindu university,11-16,0.0
906,901-1000,beijing university of chinese medicine,121-132,0.0
907,901-1000,bharathiar university,11-16,0.0
908,901-1000,binghamton university,193-206,0.0
909,901-1000,birkbeck university of london,56-61,0.0
910,901-1000,bond university,32-33,0.0
911,901-1000,chang'an university,121-132,0.0
912,901-1000,changzhou university,121-132,0.0
913,901-1000,city university london,56-61,0.0
914,901-1000,city university new york - baruch college,193-206,0.0
915,901-1000,clark university,193-206,0.0
916,901-1000,czech university of life sciences prague,6-7,0.0
917,901-1000,dalian maritime university,121-132,0.0
918,901-1000,ecole normale super cachan,33-35,0.0
919,901-1000,ege university,11-12,0.0
920,901-1000,federal university of bahia,19-23,0.0
921,901-1000,federal university of pará,19-23,0.0
922,901-1000,federico santa maría technical university,5,0.0
923,901-1000,fırat university,11-12,0.0
924,901-1000,florida atlantic university,193-206,0.0
925,901-1000,fluminense federal university,19-23,0.0
926,901-1000,fujian medical university,121-132,0.0
927,901-1000,guangxi university,121-132,0.0
928,901-1000,guangzhou university,121-132,0.0
929,901-1000,gwangju institute of science and technology,30-32,0.0
930,901-1000,indian institute of technology roorkee,11-16,0.0
931,901-1000,inje university,30-32,0.0
932,901-1000,kagoshima university,34-43,0.0
933,901-1000,kindai university,34-43,0.0
934,901-1000,kunming university of science and technology,121-132,0.0
935,901-1000,kyushu institute of technology,34-43,0.0
936,901-1000,lakehead university,27-28,0.0
937,901-1000,lappeenranta university of technology,8,0.0
938,901-1000,lulea university of technology,13,0.0
939,901-1000,medical university of silesia,7-9,0.0
940,901-1000,middlesex university,56-61,0.0
941,901-1000,nantong university,121-132,0.0
942,901-1000,national chung hsing university,12-13,0.0
943,901-1000,national polytechnic institute of toulouse,33-35,0.0
944,901-1000,national research university higher school of economics,11,0.0
945,901-1000,national taiwan university of science and technology,12-13,0.0
946,901-1000,new jersey institute of technology,193-206,0.0
947,901-1000,new mexico state university,193-206,0.0
948,901-1000,nhh - norwegian school of economics,6,12.5
949,901-1000,nicolaus copernicus university,7-9,0.0
950,901-1000,nihon university,34-43,0.0
951,901-1000,northumbria university,56-61,0.0
952,901-1000,rio de janeiro state university,19-23,0.0
953,901-1000,roma tre university,43-46,0.0
954,901-1000,ryerson university,27-28,0.0
955,901-1000,semmelweis university,4-5,0.0
956,901-1000,shahid beheshti university,11-13,0.0
957,901-1000,shandong normal university,121-132,0.0
958,901-1000,shiraz university,11-13,0.0
959,901-1000,shizuoka university,34-43,0.0
960,901-1000,sofia university,1,0.0
961,901-1000,sogang university,30-32,0.0
962,901-1000,southern cross university,32-33,0.0
963,901-1000,toho university,34-43,0.0
964,901-1000,tokyo metropolitan university,34-43,0.0
965,901-1000,ton duc thang university,1,0.0
966,901-1000,union college,193-206,15.9
967,901-1000,universidade federal de mato grosso do sul,19-23,0.0
968,901-1000,university of alcalá,37-38,0.0
969,901-1000,university of angers,33-35,0.0
970,901-1000,university of bucharest,2,7.9
971,901-1000,university of chieti-pescara,43-46,0.0
972,901-1000,university of debrecen,4-5,0.0
973,901-1000,university of denver,193-206,0.0
974,901-1000,university of hull,56-61,0.0
975,901-1000,university of ibadan,1,0.0
976,901-1000,university of insubria,43-46,0.0
977,901-1000,university of las palmas de gran canaria,37-38,0.0
978,901-1000,university of los andes (colombia),2,0.0
979,901-1000,university of massachusetts boston,193-206,0.0
980,901-1000,university of mons,9,0.0
981,901-1000,university of neuchatel,10,0.0
982,901-1000,university of new orleans,193-206,0.0
983,901-1000,university of north carolina at charlotte,193-206,0.0
984,901-1000,university of novi sad,2,0.0
985,901-1000,university of patras,6-7,0.0
986,901-1000,university of salento,43-46,0.0
987,901-1000,university of salzburg,12,0.0
988,901-1000,university of south bohemia,6-7,0.0
989,901-1000,university of stirling,56-61,0.0
990,901-1000,university of tabriz,11-13,0.0
991,901-1000,university of thessaly,6-7,0.0
992,901-1000,university of toyama,34-43,0.0
993,901-1000,university of yamanashi,34-43,11.2
994,901-1000,vellore institute of technology,11-16,0.0
995,901-1000,williams college,193-206,18.6
996,901-1000,worcester polytechnic institute,193-206,0.0
997,901-1000,wroclaw university of technology,7-9,0.0
998,901-1000,yokohama national university,34-43,0.0
999,901-1000,zagazig university,5,0.0
